"ID","grave_type","sex","Birth_year","Death_year","survival_time"
1,0,1,1905,1997,92
2,0,0,1904,1964,60
3,0,0,1906,1997,91
4,0,1,1910,2002,92
5,0,0,1929,2018,89
6,0,1,1924,2022,98
7,0,0,1926,2001,75
8,0,1,1927,2007,80
9,0,0,1947,1997,50
10,0,0,1911,1974,63
11,0,1,1921,2022,101
12,0,1,1921,2004,83
13,0,0,1921,2009,88
14,0,0,1916,1998,82
15,0,1,1924,2017,93
16,0,0,1929,2013,84
17,0,1,1928,2014,86
18,0,0,1925,1997,72
19,0,1,1924,2012,88
20,0,1,1911,2002,91
21,0,0,1904,1978,74
22,0,1,1909,2000,91
23,0,0,1917,2007,90
24,0,0,1916,2003,87
25,0,0,1924,1999,75
26,0,0,1924,2005,81
27,0,1,1930,2008,78
28,0,0,1913,2001,88
29,0,0,1921,2007,86
30,0,1,1927,2012,85
31,0,0,1925,2018,93
32,0,0,1926,2004,78
33,0,1,1932,2016,84
34,0,0,1927,2008,81
35,0,0,1963,1983,20
36,0,1,1927,2013,86
37,0,0,1924,2016,92
38,0,1,1929,2013,84
39,0,1,1929,2007,78
40,0,0,1910,1997,87
41,0,1,1910,1997,87
42,0,0,1912,1996,84
43,0,1,1912,2001,89
44,0,0,1913,2008,95
45,0,1,1918,2009,91
46,0,0,1929,1997,68
47,0,0,1915,2004,89
48,0,1,1916,2008,92
49,0,0,1926,1998,72
50,0,1,1906,2003,97
51,0,1,1938,2022,84
52,0,0,1915,2001,86
53,0,1,1920,2012,92
54,0,0,1911,1999,88
55,0,1,1922,2012,90
56,0,1,1907,1997,90
57,0,1,1921,1997,76
58,0,0,1921,2000,79
59,0,0,1917,2002,85
60,0,1,1900,1986,86
61,0,1,1925,1994,69
62,0,0,1930,2004,74
63,0,0,1912,2004,92
64,0,0,1914,2013,99
65,1,0,1938,2023,85
66,1,1,1911,1969,58
67,1,0,1941,1989,48
68,1,0,1978,2014,36
69,1,1,1917,2008,91
70,1,0,1921,2018,97
71,1,0,1900,1995,95
72,1,0,1923,1998,75
73,1,0,1931,2014,83
74,1,1,1921,1987,66
75,1,0,1917,2001,84
76,1,0,1933,2020,87
77,1,0,1947,2011,64
78,1,1,1904,1988,84
79,1,0,1905,1992,87
80,1,1,1930,1998,68
81,1,1,1942,2022,80
82,1,0,1906,1997,91
83,1,1,1907,1998,91
84,1,0,1926,1996,70
85,1,1,1931,2001,70
86,1,0,1915,2000,85
87,1,1,1915,2001,86
88,1,0,1923,1945,22
89,1,1,1925,2005,80
90,1,0,1918,2006,88
91,1,0,1927,2010,83
92,1,1,1927,2017,90
93,1,0,1945,1986,41
94,1,0,1918,1991,73
95,1,1,1925,2015,90
96,1,1,1937,2006,69
97,1,0,1904,1975,71
98,1,1,1910,2002,92
99,1,0,1936,2007,71
100,1,1,1937,2022,85
101,1,0,1948,1986,38
102,1,1,1914,2009,95
103,1,1,1910,2006,96
104,1,0,1907,1945,38
105,1,1,1912,2001,89
106,1,0,1958,2015,57
107,1,0,1925,2015,90
108,1,0,1914,1975,61
109,1,1,1917,2007,90
110,1,1,1910,1998,88
111,1,0,1925,2013,88
112,1,1,1925,2013,88
113,1,0,1928,2013,85
114,1,0,1930,2020,90
115,1,1,1914,1994,80
116,1,0,1910,2004,94
117,1,1,1914,2008,94
118,1,0,1923,1981,58
119,1,1,1923,1998,75
120,1,1,1955,2018,63
121,1,0,1907,1980,73
122,1,1,1910,2000,90
123,1,0,1934,2002,68
124,1,0,1938,2019,81
125,1,1,1958,2025,67
126,1,0,1913,2001,88
127,1,1,1901,1990,89
128,1,0,1914,2000,86
129,1,1,1932,2024,92
130,1,0,1931,2006,75
131,1,0,1925,1997,72
132,1,1,1930,2012,82
133,1,0,1922,2000,78
134,1,1,1938,2023,85
135,1,0,1904,1980,76
136,1,1,1914,1993,79
137,1,1,1927,2023,96
138,1,1,1943,2000,57
139,1,0,1936,2021,85
140,1,0,1963,2011,48
141,1,1,1951,2024,73
142,1,0,1932,2006,74
143,1,1,1936,2016,80
144,1,1,1904,1957,53
145,1,1,1905,1996,91
146,1,0,1940,1981,41
147,1,1,1976,2016,40
148,1,1,1905,1970,65
149,1,0,1905,1980,75
150,1,0,1918,1995,77
151,1,1,1926,2007,81
152,1,0,1988,2001,13
153,1,1,1923,1970,47
154,1,0,1911,1988,77
155,0,0,NA,NA,NA
156,0,1,NA,NA,NA
157,0,0,NA,NA,NA
158,0,1,NA,NA,NA
159,0,1,1928,2021,93
160,0,0,1938,2011,73
161,0,1,1937,2025,88
162,0,1,1944,2011,67
163,0,0,1940,2021,81
164,0,0,1920,2006,86
165,0,1,1922,2011,89
166,0,0,1921,1993,72
167,0,1,1910,2006,96
168,0,1,1917,NA,NA
169,0,1,1912,2001,89
170,0,0,1963,1994,31
171,0,1,1941,2006,65
172,0,0,1934,2006,72
173,0,0,1930,2008,78
174,0,1,1923,2012,89
175,0,0,1920,2019,99
176,0,0,1928,2006,78
177,0,1,1934,2015,81
178,0,1,1927,2014,87
179,0,0,1921,2007,86
180,0,0,1920,2010,90
181,0,1,1920,2010,90
182,0,0,1921,2007,86
183,0,1,1921,2018,97
184,0,0,1940,2009,69
185,0,1,1943,2021,78
186,0,0,1950,2006,56
187,0,0,1918,2007,89
188,0,1,1923,2019,96
189,0,1,1912,2012,100
190,0,0,1912,2007,95
191,0,1,1915,2010,95
192,0,1,1914,2007,93
193,0,0,1930,2007,77
194,0,1,1932,2007,75
195,0,1,1934,2020,86
196,0,0,1956,2006,50
197,0,0,1928,2013,85
198,0,1,1935,2008,73
199,0,1,1924,2020,96
200,0,1,1935,2010,75
201,0,0,1929,2014,85
202,0,0,1941,1998,57
203,0,0,1922,2000,78
204,0,1,1926,2022,96
205,0,0,1930,1998,68
206,0,1,1924,2020,96
207,1,1,1914,1976,62
208,1,0,1915,2011,96
209,1,1,1956,2015,59
210,1,0,1899,1937,38
211,1,1,1900,1947,47
212,1,1,1904,1964,60
213,1,0,1907,1999,92
214,1,0,1927,1988,61
215,1,1,1928,2021,93
216,1,1,1959,1963,4
217,1,1,1940,2012,72
218,1,1,1928,1994,66
219,1,0,1926,2008,82
220,1,0,1904,1975,71
221,1,1,1912,2001,89
222,1,1,1944,2025,81
223,1,0,1916,1969,53
224,1,1,1927,2010,83
225,1,0,1923,2011,88
226,1,1,1952,2010,58
227,1,0,1925,1971,46
228,1,1,1930,2020,90
229,1,1,1930,2013,83
230,1,0,1930,2024,94
231,1,0,1924,2014,90
232,1,1,1923,2010,87
233,1,0,1926,1980,54
234,1,1,1921,2009,88
235,1,1,1898,2000,102
236,1,0,1911,1981,70
237,1,1,1928,1998,70
238,1,0,1904,1989,85
239,1,1,1907,1993,86
240,1,1,1909,1996,87
241,1,0,1907,2003,96
